"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JKkoniwa: โคตรสปอย #AvengersInfinityWar #InfinityWarTH https://t.co/IlTbRTjh1z",FALSE,0,NA,2018-04-25 21:13:44,FALSE,NA,"989251132957507584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tozza_krab",7586,TRUE,FALSE,NA,NA
"2","so #AvengersInfinityWar is coming up and my cousin made this costume and I’m so fucking proud of him because he’s a… https://t.co/pPYmsHN0R8",FALSE,0,NA,2018-04-25 21:13:43,TRUE,NA,"989251131409920000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lorlor_nicole",0,FALSE,FALSE,NA,NA
"3","RT @IamMandine: Just saw #AvengersInfinityWar and I won't talk about it but I really want to talk about it",FALSE,0,NA,2018-04-25 21:13:42,FALSE,NA,"989251126896754689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Moustoifa",1,TRUE,FALSE,NA,NA
"4","RT @CinemasNic: Amigos de Cinemas

Con mucha alegría les comunicamos que #AvengersInfinityWar llegará a Cinemas este viernes 27 de abril. P…",FALSE,0,NA,2018-04-25 21:13:42,FALSE,NA,"989251124019462144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FernandaRose98",18,TRUE,FALSE,NA,NA
"5","Day thirteen of our twenty days of Funko is this Thanos Pop!

Just follow @sttepodcast and RT this tweet to be in w… https://t.co/nkHpieLMQr",FALSE,2,NA,2018-04-25 21:13:40,TRUE,NA,"989251116448800768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sttepodcast",5,FALSE,FALSE,NA,NA
"6","RT @Sfilmowani: #AvengersInfinityWar 

Co tu się odje...",FALSE,0,NA,2018-04-25 21:13:39,FALSE,NA,"989251111767953409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glukopiranoza",4,TRUE,FALSE,NA,NA
"7","RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a @BoxLunchGifts exclusive Unmasked Iron Spider Pop! #AvengersInfinityWar…",FALSE,0,NA,2018-04-25 21:13:38,FALSE,NA,"989251110409039874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MsPeggy_Carter",14104,TRUE,FALSE,NA,NA
"8","RT @IGN: ASSEMBLE!

Our review of #AvengersInfinityWar is here!

https://t.co/NxhOd29nAq https://t.co/12Mon9VemD",FALSE,0,NA,2018-04-25 21:13:37,FALSE,NA,"989251106994868227",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheHighRow",188,TRUE,FALSE,NA,NA
"9","RT @WhoWouldWinShow: #BlackAdam (@JamesGavsie) takes on #Vision (@JSandlinWriter) in an epic debate w/special guest mod, @3RShow, fresh fro…",FALSE,0,NA,2018-04-25 21:13:35,FALSE,NA,"989251095468953600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RandyS0725",4,TRUE,FALSE,NA,NA
"10","RT @Chriscampana1: Hey look, an #AvengersInfinityWar pic, well sorta. Seein it Thursday night! #Marvel https://t.co/q7wbHULM1L",FALSE,0,NA,2018-04-25 21:13:34,FALSE,NA,"989251092943958017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","galaxy_bri",1,TRUE,FALSE,NA,NA
"11","T-minus 47 minutes until everything I love in this world might suddenly die on me and I'm pretty damn excited.… https://t.co/wI5CqFJpn8",FALSE,0,NA,2018-04-25 21:13:33,TRUE,NA,"989251087461994496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavidOpie",0,FALSE,FALSE,NA,NA
"12","#AvengersInfinityWar What the fucking fuck just happened ? https://t.co/C555uSTxmE",FALSE,0,NA,2018-04-25 21:13:32,FALSE,NA,"989251083729080320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","C4mi_M",0,FALSE,FALSE,NA,NA
"13","RT @CinesUnidos: ¡������ATENCIÓN FANÁTICOS������! A partir de mañana a las 5:00pm podrás comprar tus entradas para #AvengersInfinityWar en TODAS nues…",FALSE,0,NA,2018-04-25 21:13:32,FALSE,NA,"989251082986639360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","orianarequenaa",30,TRUE,FALSE,NA,NA
"14","RT @JamesGunn: Folks, be careful of what reviews you read for #AvengersInfinityWar. There are many surprises in the film, and some of them…",FALSE,0,NA,2018-04-25 21:13:31,FALSE,NA,"989251081199759360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nomad_Gui",5307,TRUE,FALSE,NA,NA
"15","RT @PlayerCorps: ✨10 años de #MCU y 10 años de amor. Robert Downey Jr. (#IronMan) y Gwyneth Paltrow (#PepperPotts). #InfinityWar #AvengersI…",FALSE,0,NA,2018-04-25 21:13:30,FALSE,NA,"989251077609373696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LadyDowneyGrey",8,TRUE,FALSE,NA,NA
"16","Tony Stark sei tutta la mia vita. 
xoxo #AvengersInfinityWar",FALSE,0,NA,2018-04-25 21:13:29,FALSE,NA,"989251072924450821",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stavrk",0,FALSE,FALSE,NA,NA
"17","I'm so happy for a good reason but won't spoil #AvengersInfinityWar https://t.co/RQf2KF5VVv",FALSE,0,NA,2018-04-25 21:13:29,FALSE,NA,"989251072580620288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hemmingsmood",0,FALSE,FALSE,NA,NA
"18","Estimates Place #AvengersInfinityWar International Box Office with a $500 Million Opening https://t.co/9PRKILsGj9 https://t.co/ollIx5tK4T",FALSE,1,NA,2018-04-25 21:13:28,FALSE,NA,"989251068247859200",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","MCUExchange",0,FALSE,FALSE,NA,NA
